id,span,matches,innings,not_out,runs,high_score,average_score,ball_faced,strike_rate,100s,50,0s,4s,6s
670013,2018-2022,20,16,3,200,51,15.38,203,98.52,0,1,2,18,8
230555,2022-2022,21,21,1,694,101*,34.7,909,76.34,1,4,3,57,15
348026,2019-2019,6,5,0,248,179,49.6,214,115.88,1,0,0,25,8
431902,,3,2,1,53,52,53,85,62.35,0,1,0,2,1
333066,2012-2016,48,48,0,1283,130,26.72,1531,83.8,2,4,7,140,35
391832,2017-2022,33,26,3,553,94,24.04,754,73.34,0,2,3,40,3
1168667,2021-2021,2,2,0,14,9,7,35,40,0,0,0,1,0
495551,2015-2021,38,19,11,88,17,11,130,67.69,0,0,2,6,4
391485,2013-2022,131,107,23,2042,99*,24.3,2256,90.51,0,11,11,147,64
670025,2017-2021,47,44,3,1447,139,35.29,1360,106.39,5,4,2,111,52
581379,2016-2022,104,99,11,4308,170,48.95,5768,74.68,13,21,5,360,62
530812,2021-2022,29,22,5,234,60,13.76,304,76.97,0,1,3,13,10
670031,2016-2022,54,31,13,332,49,18.44,464,71.55,0,0,4,25,14
670035,2019-2022,20,20,2,431,91*,23.94,568,75.88,0,3,3,40,11
1086206,2022-2022,1,,,,,,,,,,,,
431901,2016-2021,57,54,4,1847,176*,36.94,2226,82.97,4,10,3,185,52
348056,2021-2022,17,16,0,486,120,30.37,544,89.33,2,1,3,54,15
906783,2018-2018,2,1,1,0,0*,,1,0,0,0,0,0,0
670045,2022-2022,4,3,0,15,7,5,27,55.55,0,0,0,1,0
677081,2018-2022,23,17,5,266,46,22.16,287,92.68,0,0,2,22,10
914467,2021-2022,5,2,1,22,21*,22,25,88,0,0,0,0,1
274921,2012-2017,7,4,1,19,10,6.33,26,73.07,0,0,0,1,0
230559,2007-2022,123,113,9,2706,119,26.01,2866,94.41,3,13,15,171,135
604302,2019-2022,52,49,6,1555,118,36.16,1618,96.1,1,11,3,122,61
820351,2016-2022,45,42,3,897,101,23,1080,83.05,1,2,2,57,38
1199304,2022-2022,7,3,2,16,16*,16,29,55.17,0,0,1,0,0
677077,2019-2022,18,14,2,213,50,17.75,226,94.24,0,1,0,17,7
230553,2008-2022,95,60,36,308,34,12.83,594,51.85,0,0,9,24,6
450101,2019-2021,5,4,0,36,27,9,71,50.7,0,0,1,1,0
1206110,2022-2022,3,1,1,3,3*,,4,75,0,0,0,0,0
820691,2022-2022,5,5,1,144,46,36,75,192,0,0,0,8,14
443263,2019-2022,22,12,3,155,46*,17.22,212,73.11,0,0,0,19,1
248920,2009-2013,21,19,2,238,37,14,364,65.38,0,0,3,19,2
