id,sp,bbi,bbm,bl,bwa,bwe,bwsr,cd,fw,fwk,in,md,mt,ov,pr,tw,wk
541224,2014-2023,6-May,6-May,,33.73,5.67,35.6,1282,1,0,36,11,37,225.5,,0,38
938959,2020-2023,Feb-40,Feb-40,,57.22,5.08,67.5,515,0,0,21,1,26,101.2,,0,9
946507,2021-2023,,,,,,,,,,,,11,,,,
571703,2015-2023,21-Apr,21-Apr,,39.32,5.03,46.8,983,0,1,24,8,26,195.1,,0,25
806239,2018-2023,Feb-30,Feb-30,,38,5.78,39.4,266,0,0,7,0,8,46,,0,7
1122853,2022-2022,,,,,10,,10,0,0,1,0,6,1,,0,0
596375,2016-2022,,,,,5.5,,11,0,0,1,0,16,2,,0,0
235516,2014-2020,,,,,,,,,,,,36,,,,
827051,2018-2022,May-49,May-49,,29.91,5.14,34.8,1376,1,3,33,16,33,267.2,,0,46
946517,2021-2022,13-Jan,13-Jan,,13,6.5,12,13,0,0,1,0,5,2,,0,1
596456,2019-2019,29-Jan,29-Jan,,80,4.7,102,80,0,0,2,0,2,17,,0,1
670013,2018-2022,Feb-40,Feb-40,,89.57,5.64,95.1,627,0,0,18,0,20,111,,0,7
431909,2015-2022,,,,,5.33,,16,0,0,1,0,3,3,,0,0
806241,2017-2023,Mar-52,Mar-52,,42.36,5.61,45.2,1271,0,0,29,10,30,226.2,,0,30
314650,2021-2022,29-Jan,29-Jan,,55,5.07,65,55,0,0,3,0,6,10.5,,0,1
348024,2016-2017,Jan-56,Jan-56,,140,5.52,152,140,0,0,5,0,10,25.2,,0,1
230555,2022-2022,,,,,,,,,,,,21,,,,
348026,2019-2019,,,,,13,,13,0,0,1,0,6,1,,0,0
431902,,Feb-77,Feb-77,,50.66,6.08,50,152,0,0,3,0,3,25,,0,3
333066,2012-2016,,,,,14.4,,12,0,0,1,0,48,0.5,,0,0
391832,2017-2022,30-Mar,30-Mar,,42.73,4.8,53.3,812,0,0,26,3,33,168.5,,0,19
495551,2015-2021,May-46,May-46,,32.4,5.87,33.1,1685,1,2,36,11,38,287,,0,52
1168667,2021-2021,,,,,,,,,,,,2,,,,
670025,2017-2021,,,,,,,,,,,,47,,,,
391485,2013-2022,27-May,27-May,,36.3,5.51,39.4,5555,2,5,127,57,131,1007.1,,0,153
581379,2016-2022,,,,,,,,,,,,104,,,,
670031,2016-2022,May-56,May-56,,27.67,5.21,31.8,2408,1,4,53,20,54,461.4,,0,87
530812,2021-2022,Apr-39,Apr-39,,28.31,4.73,35.9,1246,0,1,29,8,29,263.2,,0,44
431901,2016-2021,,,,,,,,,,,,57,,,,
1086206,2022-2022,Mar-67,Mar-67,,22.33,6.81,19.6,67,0,0,1,0,1,9.5,,0,3
56143,2006-2022,29-May,29-May,,29.06,4.44,39.2,8544,4,9,221,94,224,1921.5,,0,294
670035,2019-2022,,,,,,,,,,,,20,,,,
436677,2014-2021,Mar-56,Mar-56,,35.36,5.83,36.3,389,0,0,18,0,61,66.4,,0,11
990039,2021-2022,Apr-34,Apr-34,,29.68,5.6,31.7,564,0,2,14,3,14,100.4,,0,19
401057,2014-2022,28-May,28-May,,22.35,3.92,34.2,447,1,1,12,9,12,114,,0,20
56194,2007-2022,,,,,13,,13,0,0,2,0,231,1,,0,0
538506,2014-2022,28-May,28-May,,33.01,5.64,35.1,2278,2,3,51,14,52,403.5,,0,69
629059,2022-2022,,,,,2,,2,0,0,1,0,7,1,,0,0
398666,2014-2022,1-Feb,1-Feb,,34.55,5.45,38,311,0,0,8,7,8,57,,0,9
272477,2019-2022,May-44,May-44,,35.5,5.28,40.3,568,1,0,12,7,12,107.3,,0,16
505120,2015-2022,Feb-31,Feb-31,,48.72,5.34,54.6,877,0,0,20,4,20,164,,0,18
326434,2018-2022,,,,,,,,,,,,62,,,,
446548,2016-2016,Mar-67,Mar-67,,45.31,6.07,44.7,725,0,0,13,3,14,119.2,,0,16
489889,2011-2022,May-70,May-70,,27.61,5.21,31.7,3424,1,6,75,43,75,656.2,,0,124
5334,2013-2022,2-Jan,2-Jan,,64.75,5.47,71,259,0,0,21,0,146,47.2,,0,4
826915,2022-2022,Jan-36,Jan-36,,46.66,6.08,46,140,0,0,3,0,3,23,,0,3
1076713,2020-2022,May-33,May-33,,29.27,5.03,34.9,322,1,0,13,0,13,64,,0,11
334337,2017-2019,,,,,,,,,,,,22,,,,
530011,2016-2022,22-Feb,22-Feb,,58.42,5.82,60.2,818,0,0,30,0,51,140.3,,0,14
288284,2010-2022,Jun-52,Jun-52,,25.61,4.57,33.5,2766,3,1,68,48,69,604.2,,0,108
662235,2022-2022,,,,,,,,,,,,2,,,,
215155,2013-2019,,,,,,,,,,,,40,,,,
787987,2020-2022,19-Feb,19-Feb,,98.5,6.38,92.5,197,0,0,9,1,27,30.5,,0,2
272450,2011-2022,May-33,May-33,,35.42,5.43,39,1913,1,1,64,9,69,351.5,,0,54
325026,2012-2022,Apr-46,Apr-46,,50.11,5.57,53.9,3007,0,3,100,11,127,539.2,,0,60
603410,2021-2022,,,,,,,,,,,,5,,,,
272279,2012-2019,Apr-44,Apr-44,,46,4.92,56,1334,0,1,29,11,29,271,,0,29
376169,2018-2018,Feb-46,Feb-46,,60,7.2,50,120,0,0,2,1,2,16.4,,0,2
922941,2022-2022,,,,,,,,,,,,1,,,,
623977,,Feb-42,Feb-42,,59,4.91,72,118,0,0,5,0,6,24,,0,2
348144,2015-2023,,,,,,,,,,,,95,,,,
494230,2018-2022,,,,,10.8,,9,0,0,1,0,21,0.5,,0,0
39037,2011-2018,26-Feb,26-Feb,,65,6.04,64.5,260,0,0,14,0,53,43,,0,4
681117,2017-2021,22-May,22-May,,46.08,5.11,54,1060,1,0,30,8,31,207.2,,0,23
512191,2017-2023,19-Jan,19-Jan,,111,4.93,135,111,0,0,7,0,65,22.3,,0,1
40250,2007-2015,8-Jan,8-Jan,,75.4,5.68,79.6,377,0,0,13,0,38,66.2,,0,5
1168651,2020-2020,,,,,,,,,,,,2,,,,
1161606,2020-2023,Apr-65,Apr-65,,29.26,5.77,30.4,878,0,2,18,7,18,152,,0,30
681305,2016-2022,May-34,May-34,,30.36,5.75,31.6,2763,4,1,58,14,60,480.2,,0,91
318788,2013-2023,Mar-45,Mar-45,,55.72,5.72,58.3,613,0,0,21,0,45,107,,0,11
480603,2015-2022,May-40,May-40,,39.12,5.21,45,313,1,0,9,4,10,60,,0,8
568276,2017-2023,,,,,,,,,,,,56,,,,
716733,2020-2022,Jan-50,Jan-50,,61,6.77,54,122,0,0,3,0,10,18,,0,2
