id,bbad,bbi,bta,bwa,ct,fw,hn,hs,pr,rn,st,wk,sp
230559,-2.97,25-Apr,25.3,28.28,42,0,0,75*,,1569,0,42,2008-2022
604302,,,25.48,,36,,0,74*,,1427,5,,2016-2022
820351,-9.57,Feb-31,23.42,33,23,0,1,107,,890,0,4,2017-2022
450101,,,19,,0,,0,19,,19,0,,2022-2022
230553,,25-Feb,,28.4,1,0,0,3*,,3,0,10,2008-2012
677077,8.64,21-Mar,39.6,30.95,4,0,0,44*,,198,0,21,2020-2022
1206110,-34.5,23-Feb,3,37.5,3,0,0,3,,3,0,4,2021-2021
820691,-14.79,29-Mar,13.5,28.29,12,0,0,27*,,162,0,24,2018-2022
248920,,,8.5,,12,,0,31*,,51,2,,2009-2022
443263,-11.58,23-Mar,15,26.58,9,0,0,28,,150,0,31,2019-2022
774223,-14.26,26-Mar,15,29.26,10,0,0,11,,45,0,19,2017-2022
272262,-19.04,30-Apr,4.25,23.29,14,0,0,9,,17,0,44,2014-2022
267192,3.02,20-Mar,25.2,22.17,39,0,0,90,,1008,0,17,2010-2022
311592,-13.51,20-Apr,9.4,22.91,15,0,0,14,,94,0,73,2012-2022
325012,-4.37,Mar-34,29.74,34.11,16,0,0,78,,803,0,18,2015-2022
590326,,12-Mar,,18.54,4,0,0,14*,,32,0,11,2018-2022
230193,,,24.82,,47,,0,80,,1018,6,,2011-2022
219889,,,32.88,,56,,1,100*,,2894,0,,2009-2022
379504,-15.71,19-May,6,21.71,10,1,0,13*,,48,0,82,2016-2022
826689,-13.44,Apr-34,1,14.44,2,0,0,1*,,1,0,9,2022-2022
342619,,,24.21,,8,,0,77,,678,0,,2019-2023
499594,-24.75,29-Mar,10,34.75,1,0,0,9*,,30,0,16,2016-2023
437316,-0.66,16-Mar,21.41,22.08,29,0,0,74*,,1328,0,23,2015-2023
1138316,-24.25,17-Mar,4.25,28.5,9,0,0,11*,,34,0,32,2021-2023
301236,,,16.16,,8,,0,44,,291,0,,2012-2016
370040,-36.42,26-Feb,20,56.42,1,0,0,8*,,20,0,7,2015-2022
227760,,,27.26,,36,,0,89*,,818,10,,2010-2021
922943,-2.43,8-Apr,19.04,21.47,26,0,0,52,,476,0,98,2017-2022
