id,span,matches,innings,not_out,runs,high_score,average_score,ball_faced,strike_rate,100s,50,0s,4s,6s
233901,2022-2022,19,17,4,395,65*,30.38,324,121.91,0,3,2,30,7
348152,2020-2022,23,8,4,31,18*,7.75,27,114.81,0,0,2,2,1
43685,2011-2011,2,1,1,11,11*,,7,157.14,0,0,0,1,0
433614,2021-2021,1,,,,,,,,,,,,
380956,2013-2022,19,11,4,216,42,30.85,192,112.5,0,0,2,15,3
502714,2015-2023,83,56,25,530,77*,17.09,424,125,0,1,5,39,17
559066,2014-2023,91,24,8,126,19,7.87,118,106.77,0,0,4,8,7
232364,2008-2022,107,42,18,261,39,10.87,187,139.57,0,0,5,18,16
854909,2019-2023,17,4,2,11,5*,5.5,23,47.82,0,0,0,0,0
38699,2006-2020,102,94,21,1909,63,26.15,1560,122.37,0,7,6,121,71
277906,2011-2022,87,85,11,2464,95,33.29,2003,123.01,0,17,4,230,57
547749,2021-2021,8,7,0,166,53,23.71,162,102.46,0,1,0,15,6
774223,2017-2022,18,8,5,45,11,15,51,88.23,0,0,1,3,1
272262,2014-2022,35,7,3,17,9,4.25,17,100,0,0,1,0,0
267192,2010-2022,63,51,11,1008,90,25.2,805,125.21,0,4,1,85,24
325012,2015-2022,51,42,15,803,78,29.74,545,147.33,0,2,2,69,35
590326,2018-2022,8,5,5,32,14*,,23,139.13,0,0,0,1,2
311592,2012-2022,58,19,9,94,14,9.4,93,101.07,0,0,0,4,2
230193,2011-2022,75,57,16,1018,80,24.82,771,132.03,0,3,1,81,38
219889,2009-2022,99,99,11,2894,100*,32.88,2048,141.3,1,24,6,295,105
379504,2016-2022,72,16,8,48,13*,6,58,82.75,0,0,3,4,0
318845,2014-2022,26,24,5,699,109,36.78,448,156.02,2,3,5,62,34
379145,2017-2022,59,12,8,9,4*,2.25,24,37.5,0,0,4,0,0
698143,2019-2021,9,2,1,8,8*,8,11,72.72,0,0,1,1,0
481803,2021-2021,1,,,,,,,,,,,,
379887,,6,2,2,4,2*,,7,57.14,0,0,0,0,0
337790,2018-2022,41,37,8,1044,94*,36,811,128.72,0,7,1,66,45
342619,2019-2023,37,33,5,678,77,24.21,507,133.72,0,3,3,57,30
826689,,5,2,1,1,1*,1,1,100,0,0,1,0,0
499594,2016-2023,16,7,4,30,9*,10,52,57.69,0,0,1,2,0
437316,2015-2023,85,80,18,1328,74*,21.41,1090,121.83,0,5,10,93,68
1138316,2021-2023,35,14,6,34,11*,4.25,42,80.95,0,0,3,1,2
301236,2012-2016,26,20,2,291,44,16.16,267,108.98,0,0,1,27,5
370040,2015-2022,14,8,7,20,8*,20,20,100,0,0,0,3,0
236489,2017-2022,55,53,8,1748,103*,38.84,1288,135.71,1,14,1,178,58
24598,2009-2022,115,107,21,2458,91,28.58,1805,136.17,0,14,3,186,120
653695,2019-2022,6,4,0,5,5,1.25,11,45.45,0,0,3,1,0
244497,2009-2022,92,29,15,91,22,6.5,106,85.84,0,0,2,7,0
298438,2014-2022,64,64,1,1522,78,24.15,1106,137.61,0,8,7,153,69
669365,2022-2022,13,12,1,245,88*,22.27,152,161.18,0,2,1,28,9
303669,2012-2019,32,30,5,893,90*,35.72,707,126.3,0,5,2,92,16
311158,2011-2022,43,36,9,585,52*,21.66,457,128,0,1,1,42,22
457279,2022-2022,1,1,0,0,0,0,1,0,0,0,1,0,0
461632,2015-2022,22,7,5,13,9,6.5,16,81.25,0,0,1,1,0
296597,2015-2022,17,17,0,463,59,27.23,361,128.25,0,2,0,47,14
247235,2011-2022,26,11,6,126,37,25.2,86,146.51,0,0,1,7,7
308251,2015-2022,43,26,11,226,33*,15.06,173,130.63,0,0,2,15,13
573170,,2,,,,,,,,,,,,
351588,2015-2022,27,3,3,11,5*,,13,84.61,0,0,0,1,0
670013,2018-2022,34,24,8,267,34,16.68,195,136.92,0,0,4,15,21
314650,2011-2012,2,2,0,27,24,13.5,38,71.05,0,0,0,2,0
230555,2021-2022,13,12,1,218,56*,19.81,212,102.83,0,1,2,15,11
431902,,2,2,2,3,2*,,4,75,0,0,0,0,0
348026,2019-2019,2,2,0,11,11,5.5,16,68.75,0,0,1,2,0
333066,2011-2022,38,37,0,825,84,22.29,681,121.14,0,4,4,92,30
391832,2021-2022,6,5,0,64,39,12.8,73,87.67,0,0,1,6,0
495551,2014-2022,42,10,6,18,4*,4.5,29,62.06,0,0,1,2,0
670025,2018-2022,50,42,4,797,81*,20.97,673,118.42,0,4,3,53,41
391485,2014-2022,49,34,9,385,38,15.4,319,120.68,0,0,4,23,21
581379,2017-2022,19,17,0,304,55,17.88,251,121.11,0,2,1,32,10
670031,2022-2022,10,5,3,29,11*,14.5,36,80.55,0,0,1,2,1
530812,2021-2022,32,14,8,132,44*,22,114,115.78,0,0,0,8,7
670035,2019-2022,32,30,2,744,68,26.57,586,126.96,0,6,2,86,23
431901,2016-2022,53,52,3,1465,125*,29.89,964,151.97,2,10,4,108,111
348056,2020-2022,21,20,1,408,73,21.47,316,129.11,0,2,0,43,22
906783,2019-2022,27,10,4,63,23*,10.5,55,114.54,0,0,2,6,4
670045,2021-2021,1,,,,,,,,,,,,
274921,2018-2018,1,,,,,,,,,,,,
677081,2018-2022,23,16,7,187,29,20.77,166,112.65,0,0,2,10,11
604302,2016-2022,72,64,8,1427,74*,25.48,1106,129.02,0,9,2,101,83
820351,2017-2022,55,46,8,890,107,23.42,661,134.64,1,4,2,53,55
230559,2008-2022,101,83,21,1569,75*,25.3,1161,135.14,0,6,3,94,99
450101,2022-2022,1,1,0,19,19,19,23,82.6,0,0,0,0,0
230553,2008-2012,11,1,1,3,3*,,2,150,0,0,0,0,0
677077,2020-2022,23,9,4,198,44*,39.6,133,148.87,0,0,0,7,17
1206110,2021-2021,6,2,1,3,3,3,9,33.33,0,0,0,0,0
820691,2018-2022,24,17,5,162,27*,13.5,116,139.65,0,0,2,12,10
248920,2009-2022,12,8,2,51,31*,8.5,54,94.44,0,0,0,4,2
443263,2019-2022,38,17,7,150,28,15,155,96.77,0,0,2,9,5
